S.No,Link of the Video,Topic  Title,Views,Date,Channel Name,No of Subcribers
1,https://www.youtube.com/watch?v=vSzc2wn-sx4,Diabetes Success Stories: Allie Mattey,132,"April 29, 2021",Touro University California,239
2,https://www.youtube.com/watch?v=vK_duzfxwXY,"Want to know how I reversed DIABETES, BP | Success Story",287264,"December 11, 2020",Freedom From Diabetes,262k
3,https://www.youtube.com/watch?v=YSaqVfxiOu8,Diabetes Reversal Story - Naveen Jha,9997,"December 26, 2019",Freedom From Diabetes,262k
4,https://www.youtube.com/watch?v=DP-hPQ1Tjow,Transforming Type 2 Diabetes: The Dex Geralds Story,32835,"January 2, 2019",GLUCOSEZONE,29.8k
5,https://www.youtube.com/watch?v=I1bwJMvOYl0,How I reversed my type 2 diabetes in 3 months | From A1C 7.5 to A1C 5.3,35627,"May 2, 2019",The Patels,1.49k
6,https://www.youtube.com/watch?v=2bhcqzPq15o,Type 1 diabetes: Sam's story,145528,"June 12, 2012",OpenLearn from The Open University,269k
7,https://www.youtube.com/watch?v=cogAqxDtCZ0,Diabetes Reversal success story - Annasaheb Chavan,2102,"April 3, 2019",Freedom From Diabetes,262k
8,https://www.youtube.com/watch?v=UjA-1xI3kbQ,"Reversing Diabetes with a Plant-Based, Vegan Diet | Forks Over Knives",92043,"August 1, 2018",Forks Over Knives,134k
9,https://www.youtube.com/watch?v=43JdUcz1Y10,Reversing Diabetes with a Plant-Based Diet | Bob's Story,10850,"February 9, 2020",Physicians Committee,162k
10,https://www.youtube.com/watch?v=YyUwiF4Zoc8,Richard's story - How I beat Diabetes,81118,"December 7,2013",Jason Fung,514k
11,https://www.youtube.com/watch?v=SM-PopH0waU,He REVERSED His Type-2 Diabetes With A Plant-Based Diet,21881,"June 4, 2019",PLANT BASED NEWS,509k
12,https://www.youtube.com/watch?v=Mwa_iDRkPyQ,"Indian Type 2 Diabetes Reversal, Weight Loss, NAFLD Reversal Success - Low Carb LCHF Diet",590,"October 10,2018",dLife Healthcare Foundation,662
13,https://www.youtube.com/watch?v=rL5m-QjgRHg,Going into diabetes remission | Your stories | Diabetes UK,41282,"March 5, 2019",Diabetes UK,42.8k
14,https://www.youtube.com/watch?v=1NIhv6fCqAU,I Cured My Type 2 Diabetes | This Morning,1489286,"September 23, 2016",This Morning,2.03m
15,https://www.youtube.com/watch?v=NDvAYkNrvHA,How Marc reverses type 2 diabetes on a low-carb diet,50220,"June 2, 2019",Diet Doctor,411k
16,https://www.youtube.com/watch?v=_N6AAre8Zag,How I Reversed My Pre-Diabetes | Kate Kowalczyk | TEDxDePereMiddleSchool,178975,"June 3, 2016",TEDx Talks,31.6m
17,https://www.youtube.com/watch?v=MBKBn_8-VAE,"""I beat diabetes, BP and high Cholesterol…at 72!"" | Success Story",104502,"January 22, 2021",Freedom From Diabetes,262k
18,https://www.youtube.com/watch?v=5p8uBT2rzyM,"A Senior Banker who Defeated Diabetes, BP, High Cholesterol, Obesity and More | Success Story",71395,"February 17, 2021",Freedom From Diabetes,262k
19,https://www.youtube.com/watch?v=HGy43Iy2fEc,Freedom Story | Dayanand Nayak,1283,"June 10, 2021",Freedom From Diabetes,262k
20,https://www.youtube.com/watch?v=_5mckHMB4f0,Diabetes Weight Loss Success Story,5673,"November 3, 2020",Cleveland Clinic,276k
